ms	Observed
0.01	-0.987949065
0.012589254	-0.999019167
0.015848932	-0.974277285
0.019952623	-0.977916439
0.025118864	-0.963961223
0.031622777	-0.983103677
0.039810717	-0.968634823
0.050118723	-0.930337055
0.063095734	-0.936868782
0.079432823	-0.907950136
0.1	-0.906365742
0.125892541	-0.856500294
0.158489319	-0.838939167
0.199526231	-0.807154581
0.251188643	-0.764745261
0.316227766	-0.733983018
0.398107171	-0.673424806
0.501187234	-0.59515672
0.630957344	-0.521008747
0.794328235	-0.434069023
1	-0.349149055
1.258925412	-0.243336416
1.584893192	-0.161433047
1.995262315	-0.113238084
2.511886432	-0.038732608
3.16227766	0.020232682
3.981071706	0.061875858
5.011872336	0.081203345
6.309573445	0.127229277
7.943282347	0.143741388
10	0.183237254
12.58925412	0.211052934
15.84893192	0.263849917
19.95262315	0.317947979
25.11886432	0.399188829
31.6227766	0.476477279
39.81071706	0.553895746
50.11872336	0.617398341
63.09573445	0.718587665
79.43282347	0.788305831
100	0.870081514
125.8925412	0.914347376
158.4893192	0.956527592
199.5262315	0.991977422
251.1886432	0.979135205
316.227766	1.007666734
398.1071706	1.001840149
501.1872336	0.999666076
630.9573445	1.001052229
794.3282347	1.005678468
1000	1.006374022
