ms	Observed
0.01	0.996825716
0.012589254	0.981837691
0.015848932	1.001661324
0.019952623	0.991852772
0.025118864	0.998076384
0.031622777	0.969255931
0.039810717	0.971628307
0.050118723	0.994834884
0.063095734	0.969519923
0.079432823	0.975128868
0.1	0.947893383
0.125892541	0.962292064
0.158489319	0.9364618
0.199526231	0.91554966
0.251188643	0.894551402
0.316227766	0.849900207
0.398107171	0.822064474
0.501187234	0.798599259
0.630957344	0.758304721
0.794328235	0.720116458
1	0.672968116
1.258925412	0.645305827
1.584893192	0.59922035
1.995262315	0.532049609
2.511886432	0.509444982
3.16227766	0.491795924
3.981071706	0.475073105
5.011872336	0.448124872
6.309573445	0.452126582
7.943282347	0.423940401
10	0.411401484
12.58925412	0.377175746
15.84893192	0.356369584
19.95262315	0.324381232
25.11886432	0.306824542
31.6227766	0.273405692
39.81071706	0.230445537
50.11872336	0.167908781
63.09573445	0.14325482
79.43282347	0.094605495
100	0.073084439
125.8925412	0.035296448
158.4893192	0.019546449
199.5262315	0.019712439
251.1886432	-0.010995311
316.227766	0.010354379
398.1071706	0.002362757
501.1872336	-0.000267422
630.9573445	0.001057192
794.3282347	0.005678657
1000	0.006374025
